,Unnamed: 0,X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,Block
78,78,-78.48588561987278,38.07374954230141,2994,79,13055,Commonwealth Drive at Westfield Road (northbound),38.07374954,-78.48588562,510030107002022
79,79,-78.48961639465477,38.07248306345423,2995,80,13064,Commonwealth Drive at Greenbrier Drive (NB),38.07248306,-78.48961639,510030107003012
80,80,-78.49070739713966,38.07142639236634,2996,81,13072,Commonwealth Drive at Peyton Drive,38.07142639,-78.4907074,510030107003011
81,81,-78.48352050813907,38.07767105168883,2997,82,13086,Four Seasons Drive at Woodlake Drive (northbound),38.07767105,-78.48352051,510030107001000
82,82,-78.48742675849884,38.08253860484478,2998,83,13093,Four Seasons Drive at Tennis Drive (northbound),38.0825386,-78.48742676,510030107001000
83,83,-78.49934387203777,38.07095718443397,2999,84,13119,Georgetown Road at Hydraulic Road (northbound),38.07095718,-78.49934387,510030108002000
84,84,-78.4936065684234,38.069137572684866,3000,85,13126,Commonwealth Drive at Northwest Drive (northbound),38.06913757,-78.49360657,510030107003006
85,85,-78.5069961554054,38.06255340567452,3001,86,13142,Georgetown Rd at Hessian Hills Way northbound,38.06255341,-78.50699615,510030108003005
86,86,-78.50434875575415,38.04880142218345,3002,87,13157,BRSC at Arlington Blvd Northbound,38.04880142,-78.50434875,515400007003012
87,87,-78.5013427723486,38.05527496295589,3003,88,13161,Barracks Road at Cedars Court (northbound),38.05527496,-78.50134277,515400008004033
88,88,-78.49527740448106,38.067646027087115,3004,89,13174,Commonwealth Drive at Hydraulic Road (northbound),38.06764603,-78.4952774,510030107003005
89,89,-78.50241088808366,38.06816864045649,3005,90,13188,Georgetown Road at Court Place,38.06816864,-78.50241089,510030108002004
90,90,-78.50431060831215,38.06507110658042,3006,91,13190,Georgetown Road at Inglewood Drive northbound,38.06507111,-78.50431061,510030108003003
91,91,-78.4725112908998,38.09293747016333,3007,92,13208,Berkmar Drive at SPCA,38.09293747,-78.47251129,510030108001001
